爱情	愛情	ai4qing2	àiqíng	(romantic) love	他们的爱情非常甜蜜。
掉	掉	diao4	diào	to drop; to fall	我掉了手机。
丢	丟	diu1	diū	lose (something); throw; put aside	我丢了钥匙。
动作	動作	dong4zuo4	dòngzuò	movement; motion; action	他的动作很快。
堵车	堵車	du3che1	dǔchē	traffic jam	昨天下午我遇到了堵车。
肚子	肚子	du4zi	dùzi	belly; abdomen; stomach	我肚子很饿。
短信	短信	duan3xin4	duǎnxìn	text message; SMS	我收到了你的短信。
对话	對話	dui4hua4	duìhuà	dialogue; conversation	我们正在进行一场对话。
对面	對面	dui4mian4	duìmiàn	opposite; across from; the other side	他家在对面。
对于	對于	dui4yu2	duìyú	regarding; as far as sth. is concerned; with regards to; for	对于这个问题，我没有答案。
儿童	兒童	er2tong2	értóng	child; children	儿童是社会的未来。
而	而	er2	ér	and; but; yet; while (Kangxi radical 126)	他很努力学习而且进步很快。
发生	發生	fa1sheng1	fāshēng	happen; occur; take place	昨天晚上在公园发生了一起抢劫案。
发展	發展	fa1zhan3	fāzhǎn	develop; development; growth	这个城市发展得很快。
法律	法律	fa3lü4	fǎlǜ	law; statute	他违反了法律。
翻译	翻譯	fan1yi4	fānyì	translate; translation; interpret	我正在翻译这本书。
烦恼	煩惱	fan2nao3	fánnǎo	worried; vexed	我有很多烦恼。
反对	反對	fan3dui4	fǎnduì	oppose; fight against	我反对暴力行为。
方法	方法	fang1fa3	fāngfǎ	method; way; means	我们可以试试不同的方法来解决这个问题。
方面	方面	fang1mian4	fāngmiàn	aspect; field; side	这个方面需要更多的研究。
方向	方向	fang1xiang4	fāngxiàng	direction; orientation	我不知道方向。
房东	房東	fang2dong1	fángdōng	landlord	房东人很好。
放弃	放棄	fang4qi4	fàngqì	abandon; renounce; give up	他放弃了学业，去追寻自己的梦想。
放暑假	放暑假	fang4 shu3jia4	fàng shǔjià	have summer vacation	放暑假的时候我会去旅行。
放松	放松	fang4song1	fàngsōng	relax; loosen; slacken	我喜欢周末放松。
份	份	fen4	fèn	part; portion; (mw for documents, papers, jobs, etc.)	这是我份工作。
丰富	豐富	feng1fu4	fēngfù	rich; enrich; abundant; plentiful	这个菜单很丰富。
否则	否則	fou3ze2	fǒuzé	if not; otherwise; or else	你要赶快走，否则会错过火车。
符合	符合	fu2he2	fúhé	in keeping with; in accordance with; conform	这个计划符合我的要求。
父亲	父親	fu4qin	fùqin	father	我父亲是医生。
付款	付款	fu4 kuan3	fù kuǎn	to pay	我要付款买这个衣服。
负责	負責	fu4ze2	fùzé	responsible for (something); in charge of	我负责这个项目的进展。
复印	複印	fu4yin4	fùyìn	photocopy; duplicate	请帮我复印这份文件。
复杂	複雜	fu4za2	fùzá	complicated; complex	这个问题太复杂了。
富	富	fu4	fù	wealthy	他家非常富。
改变	改變	gai3bian4	gǎibiàn	to change; alter; to transform	我想要改变我的工作环境。
干杯	幹杯	gan1 bei1	gān bēi	to drink a toast; cheers!; bottoms up!	我们一起干杯吧！
赶	趕	gan3	gǎn	catch up; overtake; drive away	我们赶快走吧。
敢	敢	gan3	gǎn	to dare	他敢去山上玩吗？
感动	感動	gan3dong4	gǎndòng	be moved; to touch emotionally	看到他们的表演，我感动得流下了眼泪。
感觉	感覺	gan3jue2	gǎnjué	to feel; become aware of; feeling	我感觉很累。
感情	感情	gan3qing2	gǎnqíng	feeling; emotion; sensation	他对感情很认真。
感谢	感謝	gan3xie4	gǎnxiè	thank; be grateful	感谢你的帮助。
干	幹	gan1	gān	to concern; shield; dry; clean (Kangxi radical 51)	我干净地打扫了房间。
刚	剛	gang1	gāng	just (indicating the immediate past); recently; firm	他刚来中国一个月。
高速公路	高速公路	gao1su4 gong1lu4	gāosù gōnglù	highway	我们今天要开车上高速公路去旅行。
胳膊	胳膊	ge1bo	gēbo	arm	他摔倒了，摔伤了胳膊。
各	各	ge4	gè	each; every	各种水果都很新鲜。
工资	工資	gong1zi1	gōngzī	wages; pay; earnings; salary	我这个月的工资比上个月多。
公里	公裏	gong1li3	gōnglǐ	kilometer	这家餐厅离我家只有一公里。
功夫	功夫	gong1fu	gōngfu	kung fu; skill; art; labor	他练习功夫很有耐心。
共同	共同	gong4tong2	gòngtóng	together; common; joint	我们共同努力，一定会成功。
购物	購物	gou4wu4	gòuwù	go shopping; buy goods	我喜欢周末去购物。
够	夠	gou4	gòu	enough; to reach	这个菜够辣了。
估计	估計	gu1ji4	gūjì	appraise; estimate	我估计他会迟到。
鼓励	鼓勵	gu3li4	gǔlì	encourage; inspire	老师经常鼓励学生努力学习。
故意	故意	gu4yi4	gùyì	deliberately; intentional; on purpose	他故意迟到了半个小时。
顾客	顧客	gu4ke4	gùkè	customer; client	请问有什么可以帮助您的顾客吗？
挂	挂	gua4	guà	hang; put up; suspend	我挂了一幅画在墙上。
关键	關鍵	guan1jian4	guānjiàn	crucial; key; pivotal	这个问题的关键是时间管理。
观众	觀衆	guan1zhong4	guānzhòng	spectator; audience	观众们在剧院里欣赏表演。
管理	管理	guan3li3	guǎnlǐ	supervise; manage	我负责管理这个团队。
光	光	guang1	guāng	light; ray; bright; only; merely; used up	房间里一片光亮。
广播	廣播	guang3bo1	guǎngbō	broadcast; on the air	我喜欢听广播。
广告	廣告	guang3gao4	guǎnggào	advertisement; a commercial	他们在电视上播放了一个广告。
逛	逛	guang4	guàng	to stroll; to visit; go window shopping	我喜欢逛街购物。
规定	規定	gui1ding4	guīdìng	regulation; stipulate; fix; set	这个地方有很多规定。
国籍	國籍	guo2ji2	guójí	nationality	我想知道你的国籍。
国际	國際	guo2ji4	guójì	international	这是一家国际餐厅。
果汁	果汁	guo3zhi1	guǒzhī	fruit juice	我喜欢喝果汁。
过程	過程	guo4cheng2	guòchéng	course of events; process	这个过程需要很多时间。
海洋	海洋	hai3yang2	hǎiyáng	ocean	海洋是一个神秘的世界。
害羞	害羞	hai4 xiu1	hài xiū	blush; shy	他看到我害羞地低下了头。
寒假	寒假	han2jia4	hánjià	winter vacation	我寒假要去北京旅游。
汗	汗	han4	hàn	sweat; perspiration; Khan	我出了很多汗。
航班	航班	hang2ban1	hángbān	scheduled flight; flight number	飞机航班取消了。
好处	好處	hao3chu	hǎochu	benefit; advantage	这个计划有很多好处。
好像	好像	hao3xiang4	hǎoxiàng	as if; seem to be	他好像在等一个人。
号码	號碼	hao4ma3	hàomǎ	number	你的电话号码是多少？
合格	合格	he2ge2	hégé	qualified; up to standard	这份文件通过审核，已经合格。
合适	合適	he2shi4	héshì	suitable; proper; appropriate	这件衣服很合适。
盒子	盒子	he2zi	hézi	box	这个盒子很漂亮。
后悔	後悔	hou4hui3	hòuhuǐ	to regret; repent	我后悔没有早点学习中文。
厚	厚	hou4	hòu	thick (for flat things); generous	这本书的封面很厚。
互联网	互聯網	Hu4lian2wang3	Hùliánwǎng	Internet	我经常使用互联网查找信息。
互相	互相	hu4xiang1	hùxiāng	mutually; with each other	我们应该互相帮助。
护士	護士	hu4shi	hùshi	nurse	医院里有很多护士。
怀疑	懷疑	huai2yi2	huáiyí	doubt; to suspect; be skeptical	我怀疑他说的话是否属实。
回忆	回憶	hui2yi4	huíyì	to recall; recollect	我喜欢回忆童年的时光。
活动	活動	huo2dong4	huódòng	activity; exercise; move about	我们学校每个月都有很多活动。
活泼	活潑	huo2po	huópo	lively; vivacious	她是一个活泼的女孩。
火	火	huo3	huǒ	fire (Kangxi radical 86)	火车上很热。
获得	獲得	huo4de2	huòdé	obtain; acquire; to gain	我希望能获得这份工作。
积极	積極	ji1ji2	jījí	active; positive; energetic	他是一个积极的年轻人。
积累	積累	ji1lei3	jīlěi	accumulate; accumulation	我要努力积累经验。
基础	基礎	ji1chu3	jīchǔ	base; foundation	这门课程的基础知识很重要。
激动	激動	ji1dong4	jīdòng	excite; agitate	他听到好消息后非常激动。
及时	及時	ji2shi2	jíshí	timely; in time; promptly; without delay	请及时完成作业。
即使	即使	ji2shi3	jíshǐ	even if; even though	即使下雨，我也会去参加比赛。
计划	計劃	ji4hua4	jìhuà	plan; project	我们需要制定一个新的计划。
记者	記者	ji4zhe3	jìzhě	reporter; journalist	这位记者正在采访新闻。
技术	技術	ji4shu4	jìshù	technology; technique; skill	我对这种技术很感兴趣。
既然	既然	ji4ran2	jìrán	since; given that; now that	既然你不想去，那我们就不去了。
继续	繼續	ji4xu4	jìxù	to continue; to go on; to proceed	我们要继续努力学习。
寄	寄	ji4	jì	send by mail	我要寄一封信给我的朋友。
加班	加班	jia1 ban1	jiā bān	work overtime	我经常加班到很晚。
加油站	加油站	jia1you2zhan4	jiāyóuzhàn	gas station	我要去加油站加油。
家具	家具	jia1ju4	jiājù	furniture	我家的家具很漂亮。
假	假	jia3, jia4	jiǎ, jià	fake; if; borrow | vacation; holiday	他们买了一些假货。
价格	價格	jia4ge2	jiàgé	price	这个商品的价格太高了。
坚持	堅持	jian1chi2	jiānchí	persist in; persevere	他坚持每天锻炼身体。
减肥	減肥	jian3fei2	jiǎnféi	go on a diet; lose weight	我正在减肥，希望能瘦一点。
减少	減少	jian3shao3	jiǎnshǎo	reduce; to decrease	我减少了购物的次数。
建议	建議	jian4yi4	jiànyì	to propose; to suggest; recommend	我建议你多运动，对健康有好处。
将来	將來	jiang1lai2	jiānglái	the future	我希望将来能去中国旅游。
奖金	獎金	jiang3jin1	jiǎngjīn	bonus	公司发给我一个丰厚的奖金。
降低	降低	jiang4di1	jiàngdī	reduce; to lower; to drop	他们决定降低价格来吸引更多顾客。
降落	降落	jiang4luo4	jiàngluò	descend; to land; put down	飞机即将降落在北京机场。
交	交	jiao1	jiāo	deliver; turn over; intersect; to pay (money); friendship	我们需要交作业给老师。
交流	交流	jiao1liu2	jiāoliú	communicate; exchange; give and take; interaction; to alternate	我们需要通过交流来解决这个问题。
交通	交通	jiao1tong1	jiāotōng	traffic; transportation	这个城市的交通很拥挤。
郊区	郊區	jiao1qu1	jiāoqū	suburbs; outskirts	我喜欢郊区的宁静环境。
骄傲	驕傲	jiao1'ao4	jiāo'ào	proud; arrogant; conceited; take pride in	他很骄傲地展示他的成就。
饺子	餃子	jiao3zi	jiǎozi	dumpling; potsticker	我喜欢吃饺子。
教授	教授	jiao4shou4	jiàoshòu	professor; instruct; to lecture	他是一位大学教授。
教育	教育	jiao4yu4	jiàoyù	education	教育是很重要的。
接受	接受	jie1shou4	jiēshòu	accept; receive (honors, etc.)	我很高兴接受这个奖。
接着	接著	jie1zhe	jiēzhe	continue; carry on; to catch; follow	她接着唱歌。
节	節	jie2	jié	section; part; festival; moral integrity; save; (mw for class periods)	我们每年都会庆祝中秋节。
节约	節約	jie2yue1	jiéyuē	frugal; to save	他节约用水，每次洗澡都只用一桶水。
结果	結果	jie2guo3	jiéguǒ	result; outcome; finally	他努力学习，结果考试考得很好。
解释	解釋	jie3shi4	jiěshì	to explain	我不明白，请你给我解释一下。
尽管	盡管	jing3uan3	jǐnguǎn	despite; although; even though | freely; without hesitation	尽管天气很冷，他还是出去跑步了。
紧张	緊張	jin3zhang1	jǐnzhāng	nervous; tension; strain	考试要开始了，我感觉很紧张。
进行	進行	jin4xing2	jìnxíng	carry on; carry out; undertake	我们需要进行更多的讨论。
禁止	禁止	jin4zhi3	jìnzhǐ	to ban; prohibit	这里禁止吸烟。
京剧	京劇	jing1ju4	jīngjù	Beijing Opera	我喜欢看京剧。
经济	經濟	jing1ji4	jīngjì	economy; economic	他对经济很感兴趣。
经历	經曆	jing1li4	jīnglì	undergo; to experience	我经历过很多困难，但我从中学到了很多。
经验	經驗	jing1yan4	jīngyàn	experience	他有很多工作经验。
精彩	精彩	jing1cai3	jīngcǎi	brilliant; spectacular; wonderful	今天的演出真是精彩！
景色	景色	jing3se4	jǐngsè	scenery; landscape; scene; view	这个地方的景色非常美丽。
警察	警察	jing3cha2	jǐngchá	police	警察在街上巡逻。
竞争	競爭	jing4zheng1	jìngzhēng	compete	我们之间没有竞争关系。
竟然	竟然	jing4ran2	jìngrán	unexpectedly; to one's surprise; go so far as to	他竟然忘了我的生日。
镜子	鏡子	jing4zi	jìngzi	mirror	我家里有一个大镜子。
究竟	究竟	jiu1jing4	jiūjìng	after all; when all is said and done; actually	他究竟不喜欢这本书。
举	舉	ju3	jǔ	lift; raise; cite	他举手发言了。
举办	舉辦	ju3ban4	jǔbàn	to conduct; to hold	我们公司将举办一个年会。
举行	舉行	ju3xing2	jǔxíng	convene; to hold (a meeting, ceremony, etc.)	明天我们将举行毕业典礼。
拒绝	拒絕	ju4jue2	jùjué	to refuse; to decline; to reject	我拒绝参加这个活动。
距离	距離	ju4li2	jùlí	distance; be apart; away from	我们之间的距离很远。
聚会	聚會	ju4hui4	jùhuì	hold a meeting; get together; a party	我们周末聚会吧。
开玩笑	開玩笑	kai1 wan2xiao4	kāi wánxiào	joke; play a joke; make fun of	你别开玩笑了，这是真的吗？
开心	開心	kai1xin1	kāixīn	feel happy; have a great time; make fun of somebody	我很开心看到你。
看法	看法	kan4fa3	kànfǎ	point of view; opinion	你对这个问题有什么看法？
考虑	考慮	kao3lü4	kǎolǜ	think over; consider	我需要考虑一下这个问题。
烤鸭	烤鴨	kao3ya1	kǎoyā	roast duck	我喜欢吃烤鸭。
科学	科學	ke1xue2	kēxué	science; scientific knowledge	科学是一门很有趣的学科。
棵	棵	ke1	kē	(mw for plants)	这棵树很高。
咳嗽	咳嗽	ke2sou	késou	to cough	他咳嗽得很厉害。
可怜	可憐	ke3lian2	kělián	pitiful; poor; pathetic	他家的狗很可怜。
可是	可是	ke3shi4	kěshì	but; however	他很努力，可是考试还是没考好。
可惜	可惜	ke3xi1	kěxī	it's a pity; regrettable; too bad	这个周末下雨，可惜我们不能去郊外野餐了。
客厅	客廳	ke4ting1	kètīng	living room; parlor	客厅里有一张舒适的沙发。
肯定	肯定	ken3ding4	kěndìng	sure; definite; affirm; approve	他肯定会来参加我们的聚会。
空	空	kong1, kong4	kōng, kòng	empty; sky | leave blank; leisure	房间里空无一人。
空气	空氣	kong1qi4	kōngqì	air	空气清新。
恐怕	恐怕	kong3pa4	kǒngpà	be afraid; to fear; I'm afraid that...	恐怕他们会迟到。
苦	苦	ku3	kǔ	bitter; miserable	他的工作很苦。
矿泉水	礦泉水	kuang4quan2shui3	kuàngquánshuǐ	mineral water	我想喝矿泉水。
困	困	kun4	kùn	sleepy; surround; hard-pressed	我昨晚睡得很晚，所以今天很困。
困难	困難	kun4nan	kùnnan	difficulty; difficult; problem	这个问题很困难。
垃圾桶	垃圾桶	la1ji1tong3	lājītǒng	garbage can	我家楼下有一个垃圾桶。
拉	拉	la1	lā	to pull; to play (string instruments); to drag	他喜欢拉小提琴。
辣	辣	la4	là	hot (spicy)	这道菜太辣了。
来不及	來不及	lai2 bu ji2	lái bu jí	there's not enough time (to do something); it's too late	我们来不及赶火车了。
来得及	來得及	lai2 de ji2	lái de jí	there's still time	我们还来得及赶上火车。
来自	來自	lai2zi4	láizì	come from (a place)	他来自美国。
懒	懶	lan3	lǎn	lazy	他很懒，从来不做家务。
浪费	浪費	lang4fei4	làngfèi	to waste; squander	他常常浪费时间在手机上玩游戏。
浪漫	浪漫	lang4man4	làngmàn	romantic	他们在海边度过了一个浪漫的晚上。
老虎	老虎	lao3hu3	lǎohǔ	tiger	那只老虎很凶猛。
冷静	冷靜	leng3jing4	lěngjìng	calm; cool-headed; sober	他总是冷静地处理问题。
礼拜天	禮拜天	li3bai4tian1	lǐbàitiān	Sunday	我喜欢在礼拜天和家人一起吃早饭。
礼貌	禮貌	li3mao4	lǐmào	courtesy; politeness; manners	他的礼貌让人印象深刻。
理发	理發	li3fa4	lǐfà	a barber, hairdressing; haircut	我需要去理发了。
理解	理解	li3jie3	lǐjiě	comprehend; understand	我理解你的意思。
理想	理想	li3xiang3	lǐxiǎng	ideal	我的理想是成为一名医生。
力气	力氣	li4qi	lìqi	physical strength; effort	我没有力气举起这个重箱子。
厉害	厲害	li4hai	lìhai	terrible; formidable; fierce; cool; awesome	你的游泳技术真厉害！
例如	例如	li4ru2	lìrú	for example; for instance	例如，我喜欢吃中餐。
俩	倆	liang3	liǎng	(colloquial) two (people)	我们俩一起去吃饭吧。
连	連	lian2	lián	even; including; join	他连我都不认识。
联系	聯系	lian2xi4	liánxì	integrate; link; connection; contact	我们需要联系一下他的电话号码。
凉快	涼快	liang2kuai	liángkuai	nice and cool; pleasantly cool	今天的风很凉快。
零钱	零錢	ling2qian2	língqián	small change (of money)	我需要一些零钱。
另外	另外	ling4wai4	lìngwài	another; in addition; besides	我想买这件衣服，另外还想买一条裤子。
留	留	liu2	liú	to leave (behind, a message); to retain; to stay	她留下了一封信。
流利	流利	liu2li4	liúlì	fluent	他的英文说得很流利。
流行	流行	liu2xing2	liúxíng	spread; prevalent; be popular	这首歌在年轻人中很流行。
旅行	旅行	lü3xing2	lǚxíng	travel	我喜欢旅行。
律师	律師	lü4shi1	lǜshī	lawyer	他的律师很有经验。
乱	亂	luan4	luàn	disorder; confusion; arbitrarily	他的房间总是很乱。
麻烦	麻煩	ma2fan	máfan	trouble (someone); troubling; bothersome	这个问题很麻烦。
马虎	馬虎	ma3hu	mǎhu	careless; sloppy; casual	他做事情总是很马虎。
满	滿	man3	mǎn	full; abbreviation for Manchurian	房间里的书架满了书。
毛	毛	mao2	máo	hair; fur; feather; dime (Kangxi radical 82)	我家的猫有很长的毛。
毛巾	毛巾	mao2jin1	máojīn	towel; washcloth	我需要一条毛巾。
美丽	美麗	mei3li4	měilì	beautiful	她是一个美丽的女孩。
梦	夢	meng4	mèng	to dream	我经常做梦。
迷路	迷路	mi2lu4	mílù	to get lost	我在公园里迷路了。
密码	密碼	mi4ma3	mìmǎ	password; secret code	请记住你的密码。
免费	免費	mian3 fei4	miǎn fèi	free (of charge); no cost	这个软件是免费的。
秒	秒	miao3	miǎo	second (unit of time or angle)	我等了一秒钟。
民族	民族	min2zu2	mínzú	nationality; ethnic group	他对自己的民族感到骄傲。
母亲	母親	mu3qin	mǔqin	mother	我母亲很会做菜。
目的	目的	mu4di4	mùdì	purpose; aim; goal	我的目的是学好中文。
耐心	耐心	nai4xin1	nàixīn	to be patient	请耐心等一下，医生马上就来。
难道	難道	nan2dao4	nándào	could it be that ...?; don't tell me ...	你难道不知道今天有考试吗？
难受	難受	nan2shou4	nánshòu	feel unwell; to suffer pain	昨天我吃坏肚子了，现在觉得很难受。
内	內	nei4	nèi	inside; inner; internal; within	房间内很安静。
内容	內容	nei4rong2	nèiróng	content; substance; details	这本书的内容很有趣。
能力	能力	neng2li4	nénglì	capability; capable; ability	他有很强的能力。
年龄	年齡	nian2ling2	niánlíng	(a person's) age	他的年龄比我大十岁。
弄	弄	nong4	nòng	do; manage; to handle; make	他擅长弄各种乐器。
暖和	暖和	nuan3huo	nuǎnhuo	warm; nice and warm	今天天气很暖和。
偶尔	偶爾	ou3'er3	ǒu'ěr	occasionally; once in a while; sometimes	我偶尔会去图书馆看书。
排队	排隊	pai2 dui4	pái duì	queue; stand in line	我们需要排队买票。
排列	排列	pai2lie4	páiliè	arrange; align; permutation	这些书本按照大小排列。
判断	判斷	pan4duan4	pànduàn	to judge; judgment; to decide	我不能只凭外表来判断一个人的品质。
陪	陪	pei2	péi	accompany; keep company	我喜欢陪朋友去逛街。
批评	批評	pi1ping2	pīpíng	criticize	老师经常批评我们的作业。
皮肤	皮膚	pi2fu1	pífū	skin	我皮肤很敏感。
脾气	脾氣	pi2qi	píqi	temperament; disposition; temper	他的脾气很好，很少发脾气。
篇	篇	pian1	piān	sheet; (mw for articles); piece of writing	我写了一篇文章。
骗	騙	pian4	piàn	to cheat; to swindle; deceive	他经常骗人，不能相信他的话。
乒乓球	乒乓球	ping1pang1qiu2	pīngpāngqiú	ping pong; table tennis	我喜欢打乒乓球。
平时	平時	ping2shi2	píngshí	ordinarily; in normal times; in peacetime	平时我喜欢去公园散步。
破	破	po4	pò	broken; damaged; to split	他的手机屏幕破了。
葡萄	葡萄	pu2tao	pútao	grape	这个葡萄很甜。
