爱	愛	ai4	ài	love	我爱我的家人。
名字	名字	ming2zi5	míngzi	name	你叫什么名字？
哪	哪	na3	nǎa	which; how	你喜欢哪个颜色？
哪儿	哪兒	na3r5	nǎr	where? (Beijing accent)	你住在哪儿？
那	那	na4	nà	that; then	那是我的书。
呢	呢	ne5	ne	indicates a question; how about...?;	你喜欢吃水果呢？
能	能	neng2	néng	can; be able	我能说中文。
你	你	ni3	nǐ	you (singular)	你好吗？
年	年	nian2	nián	year	我今年二十岁。
女儿	女兒	nv3'er2	nǚ'ér	daughter	她是我的女儿。
朋友	朋友	peng2you5	péngyou	friend	我有很多朋友。
漂亮	漂亮	piao4liang5	piàoliang	pretty; beautiful	她很漂亮。
苹果	蘋果	ping2guo3	píngguǒ	apple	我喜欢吃苹果。
七	七	qi1	qī	seven	我家有七个人。
钱	錢	qian2	qián	money; coin	我没有钱。
前面	前面	qian2mian4	qiánmiàn	in front	他在前面。
请	請	qing3	qǐng	please; invite; to treat someone to something	请坐。
去	去	qu4	qù	go; to leave	我要去学校。
热	熱	re4	rè	heat; hot	今天很热。
人	人	ren2	rén	person; man; people	这个人很高。
认识	認識	ren4shi5	rènshi	recognize; know (a person)	我认识你。
三	三	san1	sān	three	他有三个兄弟。
商店	商店	shang1dian4	shāngdiàn	shop; store	我喜欢去商店买东西。
上	上	shang4	shàng	above; up	他的家在上面。
上午	上午	shang4wu3	shàngwǔ	late morning (before noon)	上午我去学校。
少	少	shao3	shǎo	few; little	他会说少数汉语。
谁	誰	shei2	shéi	who	谁是老师？
什么	什麼	shen2me5	shénme	what? (replaces the noun to turn a statement into a question)	你想吃什么？
十	十	shi2	shí	ten	我学了十个汉字。
时候	時候	shi2hou5	shíhou	time	我喜欢晚上的时候。
是	是	shi4	shì	be; is; are; am	他是老师。
书	書	shu1	shū	book; letter	我喜欢看书。
水	水	shui3	shuǐ	water	我喜欢喝水。
水果	水果	shui3guo3	shuǐguǒ	fruit	我喜欢吃水果。
睡觉	睡覺	shui4 jiao4	shuì jiào	to sleep; go to bed	我要睡觉了。
说	說	shuo1	shuō	speak	他说中文。
四	四	si4	sì	four	我家有四口人。
岁	歲	sui4	suì	years old; age	我十八岁。
他	他	ta1	tā	he; him	他是我的朋友。
她	她	ta1	tā	she	她是老师。
太	太	tai4	tài	too (much)	这个苹果太甜了。
天气	天氣	tian1qi4	tiānqì	weather	今天天气很好。
听	聽	ting1	tīng	listen; hear	我听音乐。
同学	同學	tong2xue2	tóngxué	fellow student; schoolmate	我们是同学。
喂	喂	wei4	wèi	hello (on the phone)	喂，你好吗？
我	我	wo3	wǒ	I; me	我很高兴。
我们	我們	wo3men5	wǒmen	we; us	我们是朋友。
五	五	wu3	wǔ	five	我有五个苹果。
喜欢	喜歡	xi3huan5	xǐhuan	to like	我喜欢吃水果。
下	下	xia4	xià	fall; below	他下了楼梯。
下午	下午	xia4wu3	xiàwǔ	afternoon	我喜欢下午喝茶。
下雨	下雨	xia4yu3	xiàyǔ	to rain	今天下雨了。
先生	先生	xian1sheng5	xiānsheng	Mr.; Sir	这是先生的书。
现在	現在	xian4zai4	xiànzài	now	现在我在吃饭。
想	想	xiang3	xiǎng	think; believe; suppose; would like to	我想喝水。
小	小	xiao3	xiǎo	small; young	我有一只小狗。
小姐	小姐	xiao3jie5	xiǎojie	young lady; miss; Ms.	小姐，请问这里有厕所吗？
些	些	xie1	xiē	some; few; several	我有些书。
写	寫	xie3	xiě	to write; to compose	我写字。
谢谢	謝謝	xie4xie5	xièxie	thank you	谢谢你。
星期	星期	xing1qi1	xīngqī	week	星期一是工作日。
学生	學生	xue2sheng5	xuésheng	student	他是学生。
学习	學習	xue2xi2	xuéxí	learn; to study	我喜欢学习汉语。
学校	學校	xue2xiao4	xuéxiào	school	我去学校。
一	一	yi1	yī	one; once; a	我有一只猫。
衣服	衣服	yi1fu5	yīfu	clothes	我喜欢买衣服。
医生	醫生	yi1sheng1	yīshēng	doctor	医生很忙。
医院	醫院	yi1yuan4	yīyuàn	hospital	我去医院。
椅子	椅子	yi3zi5	yǐzi	chair	这把椅子很舒服。
一点儿	一點兒	yi4dian3r5	yìdiǎnr	a bit; a few	我想喝一点儿水。
有	有	you3	yǒu	have	我有一只猫。
月	月	yue4	yuè	moon; month	今天是几月？
在	在	zai4	zài	at; on; in; indicates an action in progress	我在家。
再见	再見	zai4jian4	zàijiàn	goodbye; see you later	明天再见。
怎么	怎麼	zen3me5	zěnme	how?	怎么样？
怎么样	怎麼樣	zen3me5yang4	zěnmeyàng	how about?; how is/was it?	你怎么样？
这	這	zhe4	zhè	this	这是我的书。
中国	中國	Zhong1guo2	Zhōngguó	China	中国人很友好。
中午	中午	zhong1wu3	zhōngwǔ	noon; midday	我喜欢中午吃米饭。
住	住	zhu4	zhù	to live; reside; to stop	我住在北京。
桌子	桌子	zhuo1zi5	zhuōzi	table; desk	桌子上有一个杯子。
字	字	zi4	zì	letter; character	这个字很容易写。
昨天	昨天	zuo2tian1	zuótiān	yesterday	昨天我去商店。
做	做	zuo4	zuò	do; make	我喜欢做饭。
坐	坐	zuo4	zuò	sit	我坐在椅子上。
